ProductID,CategoryID,ProductName,Colour,Size,Description,Composition,Care,Price,Inventory
P6033,CA1010,EMBROIDERED OUTERWEAR,Indigo,3XL,indigo trendy embroidered outerwear for man,60% wool 40% acrylic,lay flat to dry,59.83,2614658
P6034,CA1005,TEXTURED OUTERWEAR,Aquamarine,3XL,aquamarine luxurious textured outerwear for woman,95% acrylic 5% spandex,Gentle cycle,10.38,4948375
P6035,CA1013,COMPACT SWEATERS,Crimson,S,crimson stylish compact sweaters for kids,95% acrylic 6% spandex,Gentle cycle,8.76,5737676
P6036,CA1007,BOXY-FIT  HOODIES,Puce,M,puce luxurious boxy-fit  hoodies for man,70% viscose 30% nylon,Spot clean with damp cloth,14.01,4060270
P6037,CA1001,FADED JACKETS,Teal,M,teal trendy faded jackets for woman,60% wool 40% acrylic,lay flat to dry,78.28,268696
P6038,CA1007,FADED  HOODIES,Puce,S,puce trendy faded  hoodies for man,50% cotton 50% polyester,do not wring or twist,25.46,3241822
P6039,CA1001,FLORAL PRINT JACKETS,Khaki,S,khaki chic floral print jackets for woman,70% viscose 30% nylon,tumble dry low,24.37,7489620
P6040,CA1009,VINTAGE-EFFECT  PANTS,Puce,XS,puce classic vintage-effect pants for man,50% cotton 51% polyester,iron on low heat,81.52,7426330
P6041,CA1006,QUARTER-ZIP JACKETS,Crimson,S,crimson chic quarter-zip jackets for man,60% wool 40% acrylic,Gentle cycle,8.76,5737676
P6042,CA1009,TECHNICAL PANTS,Mauv,S,mauv elegant detailing technical pants for man,80% linen 20% cotton,Spot clean with damp cloth,36.5,1973732
P6043,CA1012,BOXY-FIT  HOODIES,Red,S,red luxurious boxy-fit  hoodies for kids,70% viscose 31% nylon,do not wring or twist,31.12,4336115
P6044,CA1001,QUARTER-ZIP JACKETS,Khaki,L,khaki chic quarter-zip jackets for woman,95% acrylic 5% spandex,hang to dry,10.77,3623751
P6045,CA1011,TECHNICAL JACKETS,Puce,XL,puce elegant detailing technical jackets for kids,60% wool 41% acrylic,tumble dry low,71,5750905
P6046,CA1009,ABSTRACT PRINT PANTS,Crimson,2XL,crimson modern  abstract print pants for man,95% acrylic 6% spandex,Spot clean with damp cloth,66.72,913318
P6047,CA1003,VINTAGE-EFFECT  SWEATERS,Teal,3XL,teal classic vintage-effect sweaters for woman,60% wool 40% acrylic,hang to dry,47.44,8952545
P6048,CA1001,COMPACT JACKETS,Mauv,XS,mauv stylish compact jackets for woman,50% cotton 50% polyester,Do not bleach,27.03,8111506
P6049,CA1001,EMBROIDERED JACKETS,Orange,3XL,orange trendy embroidered jackets for woman,80% linen 20% cotton,hang to dry,43.66,9778117
P6050,CA1009,EMBROIDERED PANTS,Teal,2XL,teal trendy embroidered pants for man,95% acrylic 6% spandex,Hand wash with mild detergent,91.54,1148499
P6051,CA1015,TECHNICAL OUTERWEAR,Teal,M,teal elegant detailing technical outerwear for kids,50% cotton 51% polyester,lay flat to dry,17.35,3241822
P6052,CA1004,CARTOON PRINT PANTS,Blue,3XL,blue stylish cartoon print pants for woman,95% acrylic 5% spandex,Hand wash with mild detergent,78.43,6123809
P6053,CA1006,PLAINED JACKETS,Fuscia,XL,fuscia elegant detailing plained jackets for man,80% linen 20% cotton,Hand wash with mild detergent,95.06,6995441
